epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1714.23,1.08489,0.78082,1.22527,0.87266,0.79491,0.87329,0.62491,1.10809,0.73536,1.20857,0.0092278,0.0092278,0.0092278
80,1735.87,1.06616,0.77916,1.22125,0.87043,0.8024,0.88096,0.63516,1.07152,0.68978,1.17952,0.0092179,0.0092179,0.0092179
81,1757.74,1.09145,0.7938,1.22152,0.88223,0.80838,0.8908,0.63646,1.07581,0.70049,1.19066,0.009208,0.009208,0.009208
82,1779.31,1.06207,0.77424,1.21344,0.87013,0.81287,0.88934,0.6402,1.07122,0.69175,1.18376,0.0091981,0.0091981,0.0091981
83,1800.85,1.05745,0.76446,1.20531,0.89313,0.78892,0.88605,0.6394,1.05978,0.68779,1.18141,0.0091882,0.0091882,0.0091882
84,1822.47,1.07489,0.77454,1.21331,0.83732,0.83218,0.88695,0.64028,1.0765,0.69999,1.17435,0.0091783,0.0091783,0.0091783
85,1844.03,1.06213,0.77373,1.21451,0.89388,0.80539,0.89641,0.64695,1.06025,0.67045,1.17355,0.0091684,0.0091684,0.0091684
86,1865.52,1.0613,0.75157,1.21008,0.86907,0.82485,0.88426,0.64057,1.06868,0.68822,1.18046,0.0091585,0.0091585,0.0091585
87,1887,1.07849,0.7729,1.21127,0.87398,0.82036,0.89514,0.64309,1.08287,0.67868,1.1719,0.0091486,0.0091486,0.0091486
88,1908.35,1.05622,0.75741,1.1993,0.87202,0.80838,0.89275,0.64258,1.10989,0.69252,1.18714,0.0091387,0.0091387,0.0091387
89,1929.85,1.0499,0.74979,1.19481,0.87416,0.81437,0.89197,0.65185,1.03469,0.66032,1.16202,0.0091288,0.0091288,0.0091288
90,1951.42,1.05829,0.7543,1.19648,0.87449,0.81587,0.89186,0.64663,1.03996,0.65878,1.16639,0.0091189,0.0091189,0.0091189
91,1972.93,1.05102,0.74804,1.19665,0.85011,0.82485,0.89685,0.65353,1.04346,0.64363,1.16323,0.009109,0.009109,0.009109
92,1994.55,1.03543,0.72562,1.18508,0.90533,0.81287,0.89677,0.65617,1.02532,0.65561,1.14906,0.0090991,0.0090991,0.0090991
93,2016.34,1.0456,0.73537,1.18481,0.9107,0.7994,0.89966,0.65756,1.05279,0.66146,1.15944,0.0090892,0.0090892,0.0090892
94,2038.42,1.03677,0.74288,1.19211,0.87833,0.83234,0.89905,0.64997,1.07139,0.64078,1.16293,0.0090793,0.0090793,0.0090793
95,2060.16,1.03933,0.74173,1.19924,0.88596,0.83736,0.89856,0.65192,1.07155,0.64858,1.17746,0.0090694,0.0090694,0.0090694
96,2081.94,1.02291,0.72811,1.18412,0.86987,0.86078,0.90403,0.6658,1.02711,0.63759,1.15246,0.0090595,0.0090595,0.0090595
