epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,862.533,1.1375,0.85465,1.25355,0.87699,0.76844,0.87189,0.60958,1.13953,0.76762,1.22089,0.0087724,0.0087724,0.0087724
64,874.216,1.11811,0.83133,1.2378,0.85531,0.80526,0.87942,0.62169,1.1248,0.72002,1.22021,0.0087526,0.0087526,0.0087526
65,886.007,1.1109,0.82072,1.23268,0.86455,0.79311,0.88076,0.6152,1.13362,0.72946,1.21995,0.0087328,0.0087328,0.0087328
66,897.948,1.10441,0.8285,1.2387,0.8436,0.80749,0.87696,0.6124,1.12437,0.75033,1.2043,0.008713,0.008713,0.008713
67,910.135,1.10083,0.80142,1.23067,0.88015,0.80689,0.88891,0.62763,1.10994,0.70146,1.20189,0.0086932,0.0086932,0.0086932
68,921.837,1.09793,0.80557,1.23325,0.8858,0.80123,0.88168,0.60889,1.11736,0.70424,1.21587,0.0086734,0.0086734,0.0086734
69,933.292,1.10989,0.81426,1.23593,0.86715,0.79192,0.88353,0.63073,1.08312,0.70134,1.1847,0.0086536,0.0086536,0.0086536
70,944.925,1.09607,0.79314,1.22887,0.89156,0.79641,0.88273,0.62417,1.12923,0.70367,1.21314,0.0086338,0.0086338,0.0086338
71,956.52,1.09744,0.79983,1.22409,0.90273,0.8024,0.89245,0.63178,1.0786,0.68473,1.18792,0.008614,0.008614,0.008614
72,968.248,1.09111,0.79333,1.21311,0.84844,0.82125,0.88514,0.63069,1.06962,0.69473,1.17778,0.0085942,0.0085942,0.0085942
73,979.838,1.09059,0.79591,1.22617,0.85501,0.80334,0.88591,0.63502,1.0691,0.6914,1.17561,0.0085744,0.0085744,0.0085744
74,991.409,1.0719,0.77381,1.21356,0.85253,0.82214,0.89156,0.62563,1.08779,0.70433,1.19156,0.0085546,0.0085546,0.0085546
75,1003.1,1.07646,0.78218,1.22466,0.86072,0.82335,0.88374,0.62491,1.09733,0.69918,1.19761,0.0085348,0.0085348,0.0085348
76,1014.72,1.08952,0.79519,1.21898,0.88229,0.81287,0.89058,0.63486,1.07543,0.67156,1.18645,0.008515,0.008515,0.008515
77,1026.37,1.07055,0.7753,1.20243,0.87136,0.78743,0.87818,0.62571,1.10045,0.70553,1.18686,0.0084952,0.0084952,0.0084952
78,1038.01,1.06669,0.77287,1.21218,0.90022,0.81032,0.8925,0.64404,1.05059,0.671,1.18589,0.0084754,0.0084754,0.0084754
79,1049.61,1.06706,0.76476,1.20173,0.88893,0.80271,0.8856,0.63364,1.09996,0.69724,1.20002,0.0084556,0.0084556,0.0084556
80,1061.21,1.05856,0.77197,1.20965,0.85792,0.80389,0.88976,0.62813,1.10793,0.68896,1.19912,0.0084358,0.0084358,0.0084358
81,1072.84,1.09096,0.77947,1.21419,0.88085,0.82335,0.8935,0.64495,1.05133,0.66846,1.17099,0.008416,0.008416,0.008416
82,1084.33,1.0565,0.75809,1.20807,0.89012,0.8004,0.89234,0.64468,1.05906,0.67209,1.17655,0.0083962,0.0083962,0.0083962
